Transaction_date	Movie Name	Price	Payment_Type	Name	City	State	Movie Type	Account_Created	Last_Login	Latitude	Longitude	
1/6/2009 1:20	Home for the Holidays (1995)	1200	Mastercard	Frank	Melbourne	Victoria	Drama	1/2/2009 17:51	1/10/2009 18:27	-37.8166667	144.9666667	
1/10/2009 14:56	"Postman, The (Postino, Il) (1994)"	1200	Visa	Angela	Ankeny                      	IA	Comedy	1/8/2009 3:06	1/10/2009 19:41	41.72972	-93.60556	
1/7/2009 10:01	"Indian in the Cupboard, The (1995)"	1200	Visa	Darren	Pittsboro                   	NC	Adventure	1/7/2009 9:04	1/10/2009 20:02	35.72	-79.1775	
1/1/2009 1:26	Eye for an Eye (1996)	1200	Mastercard	Nikki	New Rochelle                	NY	Drama	1/1/2009 0:58	1/10/2009 21:31	40.91139	-73.78278	
1/11/2009 2:04	Mr. Holland's Opus (1995)	1200	Visa	chris	Gold Coast	Queensland	Drama	1/11/2009 0:33	1/11/2009 2:11	-28	153.4333333	
1/11/2009 14:17	Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	1200	Visa	Stephanie	Brussels	Brussels (Bruxelles)	Comedy	1/11/2009 13:39	1/11/2009 13:39	50.8333333	4.3333333	
1/10/2009 21:38	Two if by Sea (1996)	1200	Visa	Anushka	Maple Ridge District Municipality	British Columbia	Comedy	1/10/2009 21:17	1/11/2009 19:32	49.25	-122.5	
1/7/2009 6:18	Bio-Dome (1996)	1200	Mastercard	June 	Beachwood                   	OH	Comedy	2/23/06 11:56	1/11/2009 19:35	41.46444	-81.50889	
1/4/2009 8:39	Lawnmower Man 2: Beyond Cyberspace (1996)	3600	Diners	Baybars	Prince Albert	Saskatchewan	Action	1/3/2009 17:17	1/11/2009 21:05	53.2	-105.75	
1/5/2009 0:31	French Twist (Gazon maudit) (1995)	1200	Mastercard	Bonnie	Saltsjobaden	Stockholm	Comedy	1/4/2009 23:45	1/12/2009 0:37	59.2833333	18.3	
1/2/2009 6:07	Friday (1995)	1200	Visa	Cindy 	Kemble	England	Comedy	12/30/08 10:21	1/12/2009 2:24	51.6766667	-2.0180556	
1/12/2009 3:25	From Dusk Till Dawn (1996)	1200	Mastercard	chrissy	W Lebanon                   	NH	Action	1/12/2009 3:12	1/12/2009 3:22	43.64917	-72.31083	
1/4/2009 13:56	Fair Game (1995)	1200	Mastercard	Tamar	Headley	England	Action	11/29/07 9:23	1/12/2009 5:38	51.1166667	-0.8166667	
1/7/2009 0:12	Kicking and Screaming (1995)	3600	Mastercard	Deirdre	Lausanne	Vaud	Comedy	12/1/2008 6:25	1/12/2009 6:55	46.5333333	6.6666667	
1/12/2009 5:18	"Mis??rables, Les (1995)"	1200	Mastercard	Bernadett	Southampton	England	Drama	1/12/2009 4:45	1/12/2009 8:08	50.9	-1.4	
1/8/2009 15:16	Bed of Roses (1996)	1200	Visa	Dottie	Woodsboro                   	MD	Drama	1/8/2009 14:56	1/12/2009 9:29	39.53306	-77.315	
1/11/2009 11:33	Big Bully (1996)	1200	Visa	Stefan	Stavanger	Rogaland	Comedy	1/11/2009 9:02	1/12/2009 10:37	58.9666667	5.75	
1/7/2009 20:22	Screamers (1995)	1200	Visa	Gina	Red Deer	Alberta	Action	11/23/08 19:30	1/12/2009 12:24	52.2666667	-113.8	
1/2/2009 22:00	Nico Icon (1995)	1200	Diners	Lynne	Memphis                     	TN	Documentary	1/2/2009 21:04	1/12/2009 13:18	35.14944	-90.04889	
1/5/2009 13:52	"Crossing Guard, The (1995)"	1200	Mastercard	Tammy	Morges	Vaud	Action	1/5/2009 5:55	1/12/2009 14:04	46.5166667	6.5	
1/8/2009 20:32	"Juror, The (1996)"	1200	Visa	Kim	Calgary	Alberta	Drama	1/8/2009 20:21	1/12/2009 14:07	51.0833333	-114.0833333	
1/8/2009 13:34	"White Balloon, The (Badkonake sefid) (1995)"	1200	Visa	Bruce	Belleville	Ontario	Children	1/6/2009 14:38	1/12/2009 18:31	44.1666667	-77.3833333	
1/11/2009 13:08	Things to Do in Denver When You're Dead (1995)	1200	Visa	Rosa Maria	Cincinnati                  	OH	Crime	1/11/2009 12:38	1/12/2009 18:44	39.16194	-84.45694	
1/12/2009 19:04	Antonia's Line (Antonia) (1995)	1200	Visa	Lydia	Comox	British Columbia	Comedy	9/20/08 20:53	1/12/2009 19:01	49.6833333	-124.9333333	
1/12/2009 13:41	Once Upon a Time... When We Were Colored (1995)	1200	Visa	Eric	Gasperich	Luxembourg	Drama	1/12/2009 13:16	1/13/09 1:03	49.5855556	6.1230556	
1/11/2009 10:38	Angels and Insects (1995)	1200	Mastercard	AnaPaula	Helens Bay	Northern Ireland	Drama	9/4/2008 9:26	1/13/09 2:36	54.65	-5.7333333	
1/13/09 5:57	White Squall (1996)	1200	Visa	Robin	Milan	Lombardy	Action	10/15/08 5:31	1/13/09 5:55	45.4666667	9.2	
1/13/09 6:13	Dunston Checks In (1996)	1200	Visa	Gitte	Staten Island               	NY	Children	1/13/09 5:17	1/13/09 7:33	40.63667	-74.15917	
1/8/2009 13:14	Black Sheep (1996)	1200	Visa	Dr. Claudia	Oslo	Oslo	Comedy	1/8/2009 12:47	1/13/09 10:49	59.9166667	10.75	
1/2/2009 11:41	Nick of Time (1995)	1200	Visa	Crystal	Farmington	Michigan	Action	1/1/2009 12:00	1/13/09 18:34	42.46444	-83.37639	
1/7/2009 19:50	Mary Reilly (1996)	1200	Diners	Delphine	Santa Monica                	CA	Drama	1/3/2009 12:04	1/13/09 20:17	34.01944	-118.49028	
1/1/2009 20:28	Vampire in Brooklyn (1995)	1200	Visa	nathalie	Calgary	Alberta	Comedy	1/1/2009 20:11	1/13/09 21:11	51.0833333	-114.0833333	
1/3/2009 15:22	Beautiful Girls (1996)	1200	Mastercard	Lindi	Vancouver	British Columbia	Comedy	2/20/08 22:45	1/13/09 23:02	49.25	-123.1333333	
1/12/2009 3:03	Broken Arrow (1996)	3600	Mastercard	Valda	Irvine                      	CA	Action	1/12/2009 2:48	1/14/09 1:07	33.66944	-117.82222	
1/5/2009 8:58	In the Bleak Midwinter (1995)	3600	Mastercard	Marcia	Telgte	Nordrhein-Westfalen	Comedy	9/1/2008 3:39	1/14/09 2:07	52.3333333	7.9	
1/10/2009 14:03	"Hate (Haine, La) (1995)"	1200	Mastercard	Kevin	Cheltenham	England	Crime	3/13/06 4:56	1/14/09 2:22	51.9	-2.0833333	
1/13/09 11:26	Heidi Fleiss: Hollywood Madam (1995)	1200	Visa	Clare	Keller                      	VA	Documentary	1/13/09 11:15	1/14/09 2:39	37.61917	-75.76417	
1/2/2009 12:18	City Hall (1996)	1200	Visa	Alice	Nakskov	Storstrom	Drama	12/5/2007 11:37	1/14/09 4:05	54.8333333	11.15	
1/14/09 4:54	Bottle Rocket (1996)	1200	Mastercard	ZENA	Honolulu                    	HI	Adventure	1/14/09 4:34	1/14/09 4:43	21.30694	-157.85833	
1/6/2009 17:15	Mr. Wrong (1996)	1200	Visa	Andrea	Bubuieci	Chisinau	Comedy	12/24/08 17:31	1/14/09 10:27	46.985	28.9425	
1/3/2009 13:56	Unforgettable (1996)	1200	Visa	Rennae	Amelia Island               	FL	Mystery	1/3/2009 12:30	1/14/09 13:03	30.66944	-81.46278	
1/4/2009 7:54	Happy Gilmore (1996)	1200	Visa	Gerhard	Alliston	Ontario	Comedy	10/21/05 21:49	1/14/09 13:06	44.15	-79.8666667	
1/12/2009 7:28	"Bridges of Madison County, The (1995)"	1200	Amex	Megan	La Alberca	Murcia	Drama	12/10/2008 16:41	1/14/09 13:44	37.9333333	-1.1333333	
1/6/2009 15:15	Nobody Loves Me (Keiner liebt mich) (1994)	1200	Mastercard	Danielle	Rathgar	Dublin	Comedy	1/6/2009 14:59	1/14/09 14:33	53.3122222	-6.2683333	
1/13/09 23:56	Muppet Treasure Island (1996)	1200	Mastercard	Tod	Coral Gables                	FL	Adventure	1/13/09 23:13	1/14/09 15:17	25.72111	-80.26861	
1/14/09 19:32	Catwalk (1996)	1200	Visa	Janaina	Miami                       	FL	Documentary	12/16/08 22:19	1/14/09 19:28	25.77389	-80.19389	
1/6/2009 21:13	Braveheart (1995)	1200	Visa	Kofi	Vancouver	British Columbia	Action	1/7/2008 21:16	1/14/09 20:50	49.25	-123.1333333	
1/14/09 11:19	Taxi Driver (1976)	1200	Visa	Jennifer	Jumeira	Dubayy	Crime	1/14/09 10:44	1/14/09 21:26	25.2097222	55.2477778	
1/13/09 19:39	Rumble in the Bronx (Hont faan kui) (1995)	1200	Visa	Jolene 	Englewood                   	CO	Action	1/6/2009 22:00	1/14/09 22:02	39.64778	-104.98722	
1/8/2009 7:26	Before and After (1996)	1200	Mastercard	anne	Bournemouth	England	Drama	1/25/08 15:46	1/15/09 1:36	50.7166667	-1.8833333	
1/15/09 2:40	Anne Frank Remembered (1995)	1200	Mastercard	Alexis	Genoa                       	IL	Documentary	1/15/09 2:04	1/15/09 2:04	42.09722	-88.69278	
1/12/2009 6:40	"Young Poisoner's Handbook, The (1995)"	1200	Visa	Dez	Al 'Adliyah	Al Manamah	Crime	1/10/2009 12:50	1/15/09 4:46	26.2172222	50.5405556	
1/15/09 3:43	If Lucy Fell (1996)	1200	Visa	Stephanie	Rouen	Upper Normandy	Comedy	12/26/08 9:01	1/15/09 5:39	49.4333333	1.0833333	
1/5/2009 15:39	"Steal Big, Steal Little (1995)"	1200	Visa	Melissa 	Parkland                    	FL	Comedy	12/10/2008 9:14	1/15/09 6:01	26.30972	-80.2375	
1/10/2009 5:21	"Boys of St. Vincent, The (1992)"	1200	Amex	CLARE	San Francisco               	CA	Drama	1/10/2009 0:07	1/15/09 6:25	37.775	-122.41833	
1/15/09 4:12	Boomerang (1992)	1200	Mastercard	catherine	Keller                      	VA	Comedy	1/15/09 4:02	1/15/09 6:59	37.61917	-75.76417	
1/12/2009 11:48	Chungking Express (Chung Hing sam lam) (1994)	1200	Visa	Veronique 	Tsawwassen	British Columbia	Drama	7/24/08 15:48	1/15/09 8:56	49.0166667	-123.0833333	
1/6/2009 10:48	Flirting With Disaster (1996)	1200	Mastercard	Bruce and Camille	Clinton                     	NJ	Comedy	8/21/07 21:19	1/15/09 9:32	40.63667	-74.91028	
1/14/09 9:10	"NeverEnding Story III, The (1994)"	1200	Mastercard	Ellen	Owensboro                   	KY	Adventure	1/14/09 8:25	1/15/09 9:40	37.77417	-87.11333	
1/14/09 22:44	Jupiter's Wife (1994)	1200	Visa	Amy	Lakewood Village            	TX	Documentary	1/14/09 22:21	1/15/09 9:50	33.1425	-96.96917	
1/6/2009 7:23	Pie in the Sky (1996)	1200	Visa	Anna	Okotoks	Alberta	Comedy	7/21/08 12:03	1/15/09 10:00	50.7166667	-113.9666667	
1/1/2009 5:04	Jade (1995)	1200	Mastercard	Regina	Glimmen	Groningen	Thriller	12/16/02 4:09	1/15/09 10:50	53.1333333	6.6333333	
1/15/09 11:56	Down Periscope (1996)	1200	Visa	Heidi	Calgary	Alberta	Comedy	1/14/09 9:16	1/15/09 11:39	51.0833333	-114.0833333	
1/15/09 11:58	Man of the Year (1995)	1200	Visa	Jessica	Kanata	Ontario	Documentary	1/14/09 5:59	1/15/09 11:49	45.3333333	-75.9	
1/12/2009 9:43	Up Close and Personal (1996)	1200	Diners	Petra	Bergen	Nordrhein-Westfalen	Drama	1/7/2009 8:39	1/15/09 12:14	51.7166667	6.5	
1/15/09 12:33	"Birdcage, The (1996)"	1200	Visa	Brian	College Park                	MD	Comedy	1/15/09 12:19	1/15/09 13:28	38.98056	-76.93722	
1/14/09 11:35	"Brothers McMullen, The (1995)"	1200	Visa	Kenny	Kailua Kona                 	HI	Comedy	1/13/09 17:42	1/15/09 15:31	19.7349	-155.9003	
1/14/09 15:40	Bad Boys (1995)	1200	Amex	ayse	Redondo Beach               	CA	Action	1/13/09 19:37	1/15/09 15:45	33.84917	-118.3875	
1/3/2009 11:08	"Amazing Panda Adventure, The (1995)"	1200	Amex	Maria and Timothy	Fountain Hls                	AZ	Adventure	6/5/2006 22:42	1/15/09 16:37	33.61167	-111.71667	
1/12/2009 1:37	"Basketball Diaries, The (1995)"	1200	Visa	IMAN	Brisbane	Queensland	Drama	1/12/2009 1:26	1/15/09 17:54	-27.5	153.0166667	
1/16/09 7:21	"Awfully Big Adventure, An (1995)"	2100	Mastercard	Gerald	Mahopac                     	NY	Drama	11/3/2008 14:28	1/16/09 6:08	41.37222	-73.73389	
1/15/09 12:54	Amateur (1994)	1200	Mastercard	Annelies	Ile-Perrot	Quebec	Crime	1/15/09 12:22	1/16/09 7:53	45.4	-73.9333333	
1/7/2009 7:19	Apollo 13 (1995)	1200	Amex	Jocelyn	Bruxelles	Brussels (Bruxelles)	Adventure	6/30/08 9:33	1/16/09 8:54	50.8333333	4.3333333	
1/3/2009 9:56	Rob Roy (1995)	1200	Visa	Kara	Chicago                     	IL	Action	12/31/08 16:26	1/16/09 13:43	41.85	-87.65	
1/16/09 17:41	"Addiction, The (1995)"	1200	Visa	Orsi	Rayford                     	TX	Drama	1/16/09 17:01	1/16/09 17:56	30.07972	-95.41694	
1/5/2009 5:33	Batman Forever (1995)	1200	Visa	Ben	Escondido                   	CA	Action	1/5/2009 3:19	1/17/09 0:35	33.11917	-117.08556	
1/2/2009 0:50	Beauty of the Day (Belle de jour) (1967)	1200	Visa	Sam	Tesvikiye	Istanbul	Drama	1/2/2009 0:10	1/17/09 1:57	40.6166667	29.0666667	
1/13/09 1:51	Beyond Rangoon (1995)	1200	Visa	Filip and Teresa	Centurion	Gauteng	Adventure	1/12/2009 1:40	1/17/09 2:23	-25.8744444	28.1705556	
1/15/09 10:24	Blue in the Face (1995)	1200	Visa	Grace 	York	England	Comedy	1/13/09 12:30	1/17/09 4:42	53.9666667	-1.0833333	
1/11/2009 8:59	Canadian Bacon (1995)	1200	Visa	Chelsey 	Ashburn                     	VA	Comedy	11/9/2008 5:53	1/17/09 8:54	39.04361	-77.48778	
1/15/09 15:56	Casper (1995)	1200	Amex	Charis	Los Angeles                 	CA	Adventure	11/11/2005 11:49	1/17/09 10:54	34.05222	-118.24278	
1/1/2009 12:19	Clockers (1995)	1200	Visa	Marlene	Edgewood                    	WA	Crime	1/16/06 14:45	1/17/09 11:38	47.25028	-122.2925	
1/6/2009 14:03	Congo (1995)	1200	Visa	Fie	New York                    	NY	Action	5/1/2008 8:26	1/17/09 11:44	40.71417	-74.00639	
1/9/2009 15:32	Crimson Tide (1995)	1200	Diners	Nicole 	Basingstoke	England	Drama	1/7/2009 12:31	1/17/09 12:03	51.2666667	-1.0833333	
1/17/09 12:59	Crumb (1994)	1200	Diners	Linda	Den Haag	Zuid-Holland	Documentary	10/29/08 13:09	1/17/09 13:07	52.0833333	4.3	
1/12/2009 12:37	Desperado (1995)	1200	Visa	Janet	Marietta                    	GA	Action	9/13/07 14:20	1/17/09 16:17	33.9525	-84.55	
1/4/2009 7:43	Devil in a Blue Dress (1995)	1200	Mastercard	Jamie	Houston                     	TX	Crime	1/4/2009 6:51	1/17/09 17:31	29.76306	-95.36306	
1/17/09 16:22	Die Hard: With a Vengeance (1995)	1200	Visa	Chad	West Orange                 	NJ	Action	1/17/09 15:22	1/17/09 18:42	40.79861	-74.23944	
1/1/2009 3:51	"Doom Generation, The (1995)"	1200	Mastercard	sunny	Amsterdam	Noord-Holland	Comedy	9/14/05 22:53	1/17/09 22:34	52.35	4.9166667	
1/18/09 5:27	First Knight (1995)	1200	Visa	Anna	Downey                      	CA	Action	1/18/09 4:28	1/18/09 4:42	33.94	-118.13167	
1/18/09 5:15	Free Willy 2: The Adventure Home (1995)	1200	Diners	Roger	Urlingford	Kilkenny	Adventure	1/18/09 4:44	1/18/09 4:44	52.7205556	-7.5825	
1/1/2009 1:51	Hackers (1995)	1200	Mastercard	Si	Holte	Kobenhavn	Action	12/14/05 15:46	1/18/09 4:44	55.8166667	12.4666667	
1/18/09 6:30	Jeffrey (1995)	1200	Visa	Sherri	Freienbach	Schwyz	Comedy	6/22/08 14:10	1/18/09 6:21	47.2	8.75	
1/11/2009 10:51	Johnny Mnemonic (1995)	1200	Mastercard	Katherine	Hofheim am Taunus	Hessen	Action	12/6/2008 1:34	1/18/09 7:17	50.0833333	8.45	
1/4/2009 17:02	Judge Dredd (1995)	1200	Mastercard	Clare	Lafayette                   	CA	Action	12/31/05 0:55	1/18/09 8:43	37.88583	-122.11694	
1/17/09 1:23	Jury Duty (1995)	1200	Amex	Campbell	Mushrif		Comedy	1/16/09 14:26	1/18/09 9:08	29.2891667	48.05	
1/18/09 2:16	Kids (1995)	1200	Visa	Ruth	Nashville                   	AR	Drama	1/16/09 19:32	1/18/09 9:13	33.94556	-93.84694	
1/18/09 11:34	Living in Oblivion (1995)	3600	Visa	Cheryl	New Malden	England	Comedy	10/28/05 14:57	1/18/09 10:27	51.4166667	-0.25	
1/18/09 4:38	Lord of Illusions (1995)	1200	Visa	Doug	Bishop Auckland	England	Horror	12/28/07 13:39	1/18/09 11:58	54.65	-1.6666667	
1/18/09 13:26	Love & Human Remains (1993)	7500	Mastercard	Julianne	Navan	Meath	Comedy	1/18/09 12:20	1/18/09 12:20	53.6527778	-6.6813889	
1/18/09 11:53	Mad Love (1995)	1200	Visa	Shailesh	Joppa	MD	Drama	1/18/09 0:00	1/18/09 12:23	39.43361	-76.35806	
1/18/09 12:04	Mallrats (1995)	1200	Visa	Conrad	Joppa	MD	Comedy	1/18/09 0:00	1/18/09 12:23	39.43361	-76.35806	
1/13/09 19:54	Mighty Morphin Power Rangers: The Movie (1995)	1200	Diners	Alison	Hampton                     	NJ	Action	1/3/2006 6:09	1/18/09 12:51	40.70694	-74.95639	
1/5/2009 21:06	Mute Witness (1994)	1200	Mastercard	Tracy	Louisville                  	KY	Comedy	1/5/2009 16:27	1/18/09 13:58	38.25417	-85.75944	
1/14/09 6:32	Nadja (1994)	1200	Visa	Kate	Broadlands                  	VA	Drama	4/12/2006 6:14	1/18/09 14:04	39.04361	-77.48778	
1/4/2009 23:48	"Net, The (1995)"	1200	Diners	Sarka	Yellowknife	Northwest Territories	Action	1/4/2009 22:41	1/18/09 16:17	62.45	-114.35	
1/18/09 16:32	Nine Months (1995)	3600	Visa	Therese	Los Angeles                 	CA	Comedy	1/18/09 16:23	1/18/09 16:54	34.05222	-118.24278	
1/18/09 17:04	Party Girl (1995)	3600	Visa	Abdul-L	New York                    	NY	Comedy	1/18/09 16:58	1/18/09 16:58	40.71417	-74.00639	
1/18/09 17:20	"Prophecy, The (1995)"	3600	Visa	heidi	Saint Paul                  	MN	Fantasy	1/18/09 17:16	1/18/09 17:16	44.94444	-93.09306	
1/18/09 17:39	Reckless (1995)	3600	Visa	jiyoung	New York                    	NY	Comedy	1/18/09 17:34	1/18/09 17:34	40.71417	-74.00639	
1/11/2009 11:20	Safe (1995)	1200	Visa	Klara	Spring Lake Park            	MN	Thriller	12/31/08 19:48	1/18/09 17:43	45.10778	-93.23778	
